FILE|TABLE|old column|new col
lei2-golden|STG_LEI_CDF_GOLDEN|LEI|LEI
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalName|LegalName
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalName.xmllang|LegalName_xmllang
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.OtherEntityNames.OtherEntityName.1|OtherEntityName_1
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.OtherEntityNames.OtherEntityName.1.xmllang|OtherEntityName_1_xmllang
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.OtherEntityNames.OtherEntityName.1.type|OtherEntityName_1_type
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.OtherEntityNames.OtherEntityName.2|OtherEntityName_2
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.OtherEntityNames.OtherEntityName.2.xmllang|OtherEntityName_2_xmllang
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.OtherEntityNames.OtherEntityName.2.type|OtherEntityName_2_type
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalAddress.xmllang|LegalAddress_xmllang
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalAddress.FirstAddressLine|LegalAddress_FirstAddressLine
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalAddress.AdditionalAddressLine.1|LegalAddress_AdditionalAddressLine_1
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalAddress.AdditionalAddressLine.2|LegalAddress_AdditionalAddressLine_2
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalAddress.AdditionalAddressLine.3|LegalAddress_AdditionalAddressLine_3
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalAddress.City|LegalAddress_City
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalAddress.Region|LegalAddress_Region
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalAddress.Country|LegalAddress_Country
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalAddress.PostalCode|LegalAddress_PostalCode
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.HeadquartersAddress.xmllang|HeadquartersAddress_xmllang
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.HeadquartersAddress.FirstAddressLine|HeadquartersAddress_FirstAddressLine
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.HeadquartersAddress.MailRouting|HeadquartersAddress_MailRouting
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.HeadquartersAddress.AdditionalAddressLine.1|HeadquartersAddress_AdditionalAddressLine_1
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.HeadquartersAddress.AdditionalAddressLine.2|HeadquartersAddress_AdditionalAddressLine_2
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.HeadquartersAddress.AdditionalAddressLine.3|HeadquartersAddress_AdditionalAddressLine_3
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.HeadquartersAddress.City|HeadquartersAddress_City
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.HeadquartersAddress.Region|HeadquartersAddress_Region
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.HeadquartersAddress.Country|HeadquartersAddress_Country
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.HeadquartersAddress.PostalCode|HeadquartersAddress_PostalCode
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.RegistrationAuthority.RegistrationAuthorityID|RegistrationAuthority_RegistrationAuthorityID
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.RegistrationAuthority.OtherRegistrationAuthorityID|RegistrationAuthority_OtherRegistrationAuthorityID
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.RegistrationAuthority.RegistrationAuthorityEntityID|RegistrationAuthority_RegistrationAuthorityEntityID
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalJurisdiction|LegalJurisdiction
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.EntityCategory|EntityCategory
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.EntitySubCategory|EntitySubCategory
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalForm.EntityLegalFormCode|LegalForm_EntityLegalFormCode
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalForm.OtherLegalForm|LegalForm_OtherLegalForm
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.AssociatedEntity.type|AssociatedEntity_type
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.AssociatedEntity.AssociatedLEI|AssociatedEntity_AssociatedLEI
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.AssociatedEntity.AssociatedEntityName|AssociatedEntity_AssociatedEntityName
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.AssociatedEntity.AssociatedEntityName.xmllang|AssociatedEntity_AssociatedEntityName_xmllang
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.EntityStatus|EntityStatus
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.EntityCreationDate|EntityCreationDate
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalEntityEvents.LegalEntityEvent.1.group_type|LegalEntityEvent_1_group_type
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalEntityEvents.LegalEntityEvent.1.event_status|LegalEntityEvent_1_event_status
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalEntityEvents.LegalEntityEvent.1.LegalEntityEventType|LegalEntityEvent_1_LegalEntityEventType
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalEntityEvents.LegalEntityEvent.1.LegalEntityEventEffectiveDate|LegalEntityEvent_1_LegalEntityEventEffectiveDate
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalEntityEvents.LegalEntityEvent.1.LegalEntityEventRecordedDate|LegalEntityEvent_1_LegalEntityEventRecordedDate
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalEntityEvents.LegalEntityEvent.1.ValidationDocuments|LegalEntityEvent_1_ValidationDocuments
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalEntityEvents.LegalEntityEvent.2.group_type|LegalEntityEvent_2_group_type
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalEntityEvents.LegalEntityEvent.2.event_status|LegalEntityEvent_2_event_status
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalEntityEvents.LegalEntityEvent.2.LegalEntityEventType|LegalEntityEvent_2_LegalEntityEventType
lei2-golden|STG_LEI_CDF_GOLDEN|Entity.LegalEntityEvents.LegalEntityEvent.2.LegalEntityEventEffectiveDate|LegalEntityEvent_2_LegalEntityEventEffectiveDate
